OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsQuarantined,IsReimbursable,IsTrespass,IsUnifiedCommand,IsValid,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
434984,33047292,,DEFAULT,1/16/2025 10:00:00 PM,1/17/2025 10:00:00 PM,wildcade,47,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 12:08:00 PM,,,,,,,,,SACC,,,,,,EVP Block F Rx 0115,,RX,FI,25.40205,-80.658383,,,{BB9EF3E7-6FD7-4569-8C54-EFDBF37C5B46},,0,,,0,,,,1,000108,wildcade,,,,Miami-Dade,FLFIC,12086,NPS,FLEVP,,NPS,Federal,,,,,,,SA50,NPS,FLEVP,US-FL,,,,,,2025-FLEVP-000108,No Decision,,,,1/15/2025 12:09:26 PM,1/18/2025 7:12:34 PM,0,,,{BFC4ABCC-02FA-4E1C-BB40-E1325BBCEC4E},5ad033ba-7ad0-4a71-b4c9-5cacff195528,,-80.658383,25.40205
434986,33047293,,DEFAULT,1/15/2025 10:05:00 PM,,wildcade,387,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 12:15:08 PM,,,,,,,,,SACC,,,,,,OCF Maple Grove Rx 0115,,RX,FI,29.0263,-81.561633,,,{9C8F612E-B0F3-4D94-87D7-ACEE79612FDF},,0,,,0,,,,1,000110,wildcade,,,,Lake,FLFIC,12069,USFS,FLFNF,,USFS,Federal,,,,,,,SA48,USFS,FLFNF,US-FL,,,,,,2025-FLFNF-000110,No Decision,,,,1/15/2025 12:17:36 PM,1/15/2025 10:05:00 PM,0,,,{D2A7A90A-E4BA-49C3-BF7D-120595AD6543},008954c6-f8ef-45a9-a41a-0b260b355885,,-81.561633,29.0263
434990,33047297,,DEFAULT,,,wildcade,,,SCSCC,,,,,,,,,,Undetermined,,,,,1/15/2025 12:36:00 PM,,,,,,,,,SACC,,,,,,C-204B FM RX,,RX,FI,33.0215,-79.685833,,,{01D94C53-FD4D-4E66-B92A-83687F5D9EB7},,0,,,0,,,,1,250005,wildcade,,,,Charleston,SCSCC,45019,USFS,SCFMF,,USFS,Federal,,,,,,,SA37,USFS,SCFMF,US-SC,,,,,,2025-SCFMF-250005,No Decision,,,,1/15/2025 12:53:45 PM,1/15/2025 1:37:33 PM,0,,,{0173226A-DD33-4FD8-9FC9-E7E4DDBA21AE},a320400e-b0d4-44b6-9d7d-28bd361a5427,,-79.685833,33.0215
434991,33047298,,DEFAULT,,,wildcade,594,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 12:59:38 PM,,,,,,,,,SACC,,,,,,APQ NC Range Rx 0115,,RX,FI,27.696106,-81.314278,,,{B611E3C7-D067-47CB-BAAB-FC8108474802},,0,,,0,,,,1,000111,wildcade,,,,Polk,FLFIC,12105,,,,DOD,Federal,,,,,,,SA48,USAF,FLAPQ,US-FL,,,,,,2025-FLAPQ-000111,No Decision,,,,1/15/2025 1:00:12 PM,1/16/2025 2:26:51 PM,0,,,{9895970F-766A-48FE-B5D9-985FC9ABAAE8},b99c484a-998a-4a89-8d6c-0c7d73f7a307,,-81.314278,27.696106
435011,33047318,,DEFAULT,,,wildcade,,,AZPDC,,,,,,,,,,Undetermined,,,,,1/15/2025 1:19:40 PM,,,,,,,,,SWCC,,,,,,North 1 RX,,RX,FI,34.302616,-114.095892,,,{EE51BFC3-FE93-4699-B030-81580856A3DB},,0,,,0,,,,1,000060,wildcade,,,,Mohave,AZPDC,04015,FWS,AZBWR,,USFWS,Federal,,,,,,,SW02,FWS,AZBWR,US-AZ,,,,,,2025-AZBWR-000060,No Decision,,,,1/15/2025 3:41:19 PM,1/15/2025 3:42:09 PM,0,,,{473E5C2B-CA75-461D-95FC-59FD581F7DBA},a42e6907-b54b-4425-986d-ee2271a22a11,,-114.095503,34.301047
434993,33047300,,DEFAULT,1/15/2025 7:54:00 PM,,wildcade,46,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:03:57 PM,,,,,,,,,SACC,,,,,,OSF CPT 102 BB7 Rx 0115,,RX,FI,30.193117,-82.444083,,,{13446D4A-5B3B-4A97-886E-40A2A4EEDA76},,0,,,0,,,,1,000113,wildcade,,,,Baker,FLFIC,12003,USFS,FLFNF,,USFS,Federal,,,,,,,SA49,USFS,FLFNF,US-FL,,,,,,2025-FLFNF-000113,No Decision,,,,1/15/2025 2:04:33 PM,1/15/2025 7:54:02 PM,0,,,{362AB7EC-A2EA-4559-A3FE-0BDB754FFE6F},01a008fc-9959-480f-bca9-1ec37cf1f9a5,,-82.444083,30.193117
434994,33047301,,DEFAULT,1/15/2025 6:05:00 PM,,wildcade,47,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:14:25 PM,,,,,,,,,SACC,,,,,,SEA NW1 Rx 0115,,RX,FI,26.339167,-81.041389,,,{4249F1AD-234D-4EE8-85B4-C72F962DE4CE},,0,,,0,,,,1,000114,wildcade,,,,Hendry,FLFIC,12051,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2025-FLSEA-000114,No Decision,,,,1/15/2025 2:14:58 PM,1/15/2025 6:06:54 PM,0,,,{28E48828-F400-4A54-B887-9356A3B07842},971f8db8-3ff3-4d75-b1ba-b70f3749a2a3,,-81.041389,26.339167
434995,33047302,,DEFAULT,1/15/2025 9:50:00 PM,,wildcade,138,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:26:59 PM,,,,,,,,,SACC,,,,,,SEA NW 2 Rx 0115,,RX,FI,26.342778,-81.036944,,,{15E639E7-7E62-4E27-8EFC-B0CEB119A9B6},,0,,,0,,,,1,000115,wildcade,,,,Hendry,FLFIC,12051,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2025-FLSEA-000115,No Decision,,,,1/15/2025 2:28:47 PM,1/15/2025 9:52:51 PM,0,,,{AAFE996C-081C-47C6-B445-61AD730CE99C},2b3e4b21-5274-4780-a686-def93f5c8add,,-81.036944,26.342778
434998,33047304,,DEFAULT,1/15/2025 8:33:00 PM,,wildcade,120,,FLFIC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:31:13 PM,,,,,,,,,SACC,,,,,,SEA NW 21 Rx 0115,,RX,FI,27.088056,-81.025278,,,{57032FF4-B063-4D6F-AB09-AD86E128EF3B},,0,,,0,,,,1,000116,wildcade,,,,Glades,FLFIC,12043,BIA,FLSEA,,BIA,Federal,,,,,,,SA50,BIA,FLSEA,US-FL,,,,,,2025-FLSEA-000116,No Decision,,,,1/15/2025 2:31:40 PM,1/15/2025 10:55:39 PM,0,,,{7A0BF84A-CDF9-4127-8C30-32B8F5968C01},7133c6c9-aa79-450d-9dbf-7273d38b3fa0,,-81.025278,27.088056
435002,33047309,,DEFAULT,,,wildcade,,,MNMNCC,,,,,,,,,,Undetermined,,,,,1/15/2025 2:45:38 PM,,,,,,,,,EACC,,,,,,Melvin Slough Slash Piles RX,,RX,FI,47.626,-96.382,,,{242D11D5-A651-4EA0-83ED-3C8C2A2ECA83},,0,1,,0,,,,1,000042,wildcade,,,,Polk,MNMNCC,27119,FWS,MNDLR,,USFWS,Federal,,,,,,,EA01,FWS,MNDLR,US-MN,,,,,,2025-MNDLR-000042,No Decision,,,,1/15/2025 2:46:32 PM,1/16/2025 1:32:38 PM,0,,,{49B45649-792B-40E0-9085-61372C9CDCC2},9f2ad9d8-f315-42ff-bd98-301085667b8c,,-96.382,47.626
